"@timestamp","source.ip","source.port","source.packets","source.bytes","destination.ip","destination.port","destination.packets","destination.bytes","network.bytes","network.transport","event.duration","network.packets"
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,166",9,"1,871","10.0.12.101","8,443",7,"2,204","4,075",tcp,"3,125,403",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,166",18,"3,742","192.168.4.10","8,443",14,"4,408","8,150",tcp,"3,142,305",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,168",9,"1,871","10.0.12.101","8,443",7,"2,204","4,075",tcp,"3,142,578",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,168",18,"3,742","192.168.4.10","8,443",14,"4,408","8,150",tcp,"3,167,288",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,170",9,"1,291","10.0.12.101","8,443",6,"2,046","3,337",tcp,"3,275,012",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,170",18,"2,582","192.168.4.10","8,443",12,"4,092","6,674",tcp,"3,297,879",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,172",9,"1,231","10.0.12.101","8,443",7,"2,652","3,883",tcp,"510,515,410",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,172",18,"2,462","192.168.4.10","8,443",14,"5,304","7,766",tcp,"510,545,304",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,174",9,"1,283","10.0.12.101","8,443",6,"2,058","3,341",tcp,"3,212,611",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,174",18,"2,566","192.168.4.10","8,443",12,"4,116","6,682",tcp,"3,229,897",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,176",9,"1,875","10.0.12.101","8,443",7,"2,204","4,079",tcp,"3,322,398",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,176",18,"3,750","192.168.4.10","8,443",14,"4,408","8,158",tcp,"3,341,817",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,178",9,"1,874","10.0.12.101","8,443",6,"2,136","4,010",tcp,"3,202,792",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,178",18,"3,748","192.168.4.10","8,443",12,"4,272","8,020",tcp,"3,242,494",30
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","53,054","12,662","110,070,739","10.0.21.101","9,200","6,941","17,170,325","127,241,064",tcp,"2,258,564,137,066","19,603"
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","53,140","2,815","4,392,776","10.0.21.101","9,200","1,861","945,076","5,337,852",tcp,"2,244,000,844,517","4,676"
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,694",4,288,"10.0.22.101","13,003",2,152,440,tcp,"261,168",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,694",2,144,"10.0.22.101","13,003",1,76,220,tcp,"200,460",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,296",4,288,"10.0.22.101","13,004",2,152,440,tcp,"206,870",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,296",2,144,"10.0.22.101","13,004",1,76,220,tcp,"174,620",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,480",4,288,"10.0.22.101","13,005",2,152,440,tcp,"240,120",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,480",2,144,"10.0.22.101","13,005",1,76,220,tcp,"192,504",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,468",4,288,"10.0.22.101","13,006",2,152,440,tcp,"231,876",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,468",2,144,"10.0.22.101","13,006",1,76,220,tcp,"183,402",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,832",4,288,"10.0.22.101","13,001",2,152,440,tcp,"216,234",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,832",2,144,"10.0.22.101","13,001",1,76,220,tcp,"181,561",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,540",4,288,"10.0.22.101","13,002",2,152,440,tcp,"233,430",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,540",2,144,"10.0.22.101","13,002",1,76,220,tcp,"209,090",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,706",4,288,"10.0.22.101","13,003",2,152,440,tcp,"256,681",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,706",2,144,"10.0.22.101","13,003",1,76,220,tcp,"216,950",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,308",4,288,"10.0.22.101","13,004",2,152,440,tcp,"227,767",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,308",2,144,"10.0.22.101","13,004",1,76,220,tcp,"196,579",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,492",4,288,"10.0.22.101","13,005",2,152,440,tcp,"252,014",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,492",2,144,"10.0.22.101","13,005",1,76,220,tcp,"200,030",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,480",4,288,"10.0.22.101","13,006",2,152,440,tcp,"268,909",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,480",2,144,"10.0.22.101","13,006",1,76,220,tcp,"224,655",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,550",12,"2,576","10.0.22.101","13,002",12,"1,326","3,902",tcp,"1,254,961",24
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,550",6,"1,288","10.0.22.101","13,002",6,663,"1,951",tcp,"1,117,301",12
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,552",12,"2,574","10.0.22.101","13,002",12,"1,326","3,900",tcp,"1,359,859",24
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,552",6,"1,287","10.0.22.101","13,002",6,663,"1,950",tcp,"1,240,180",12
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,848",4,288,"10.0.22.101","13,001",2,152,440,tcp,"228,392",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,848",2,144,"10.0.22.101","13,001",1,76,220,tcp,"191,072",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,556",4,288,"10.0.22.101","13,002",2,152,440,tcp,"293,568",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,556",2,144,"10.0.22.101","13,002",1,76,220,tcp,"225,688",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,722",4,288,"10.0.22.101","13,003",2,152,440,tcp,"251,316",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,722",2,144,"10.0.22.101","13,003",1,76,220,tcp,"197,620",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,324",4,288,"10.0.22.101","13,004",2,152,440,tcp,"235,758",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,324",2,144,"10.0.22.101","13,004",1,76,220,tcp,"187,864",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,508",4,288,"10.0.22.101","13,005",2,152,440,tcp,"250,118",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,508",2,144,"10.0.22.101","13,005",1,76,220,tcp,"202,265",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,496",4,288,"10.0.22.101","13,006",2,152,440,tcp,"268,141",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,496",2,144,"10.0.22.101","13,006",1,76,220,tcp,"192,130",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,860",4,288,"10.0.22.101","13,001",2,152,440,tcp,"249,354",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,860",2,144,"10.0.22.101","13,001",1,76,220,tcp,"190,842",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,568",4,288,"10.0.22.101","13,002",2,152,440,tcp,"275,037",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,568",2,144,"10.0.22.101","13,002",1,76,220,tcp,"198,412",3
