,source.bytes,source.packets,destination.bytes,destination.packets,network.packets,network.bytes,event.duration
99,144.0,2.0,76.0,1.0,3.0,220.0,202462.0
100,288.0,4.0,152.0,2.0,6.0,440.0,261973.0
101,144.0,2.0,76.0,1.0,3.0,220.0,194574.0
102,288.0,4.0,152.0,2.0,6.0,440.0,230099.0
103,144.0,2.0,76.0,1.0,3.0,220.0,192875.0
104,288.0,4.0,152.0,2.0,6.0,440.0,221550.0
105,144.0,2.0,76.0,1.0,3.0,220.0,189796.0
106,288.0,4.0,152.0,2.0,6.0,440.0,271656.0
107,144.0,2.0,76.0,1.0,3.0,220.0,204292.0
108,288.0,4.0,152.0,2.0,6.0,440.0,252976.0
109,144.0,2.0,76.0,1.0,3.0,220.0,221899.0
110,288.0,4.0,152.0,2.0,6.0,440.0,227418.0
111,144.0,2.0,76.0,1.0,3.0,220.0,192521.0
112,288.0,4.0,152.0,2.0,6.0,440.0,256563.0
113,144.0,2.0,76.0,1.0,3.0,220.0,198644.0
114,288.0,4.0,152.0,2.0,6.0,440.0,227856.0
115,144.0,2.0,76.0,1.0,3.0,220.0,191745.0
116,288.0,4.0,152.0,2.0,6.0,440.0,234697.0
117,144.0,2.0,76.0,1.0,3.0,220.0,189998.0
118,288.0,4.0,152.0,2.0,6.0,440.0,248442.0
119,144.0,2.0,76.0,1.0,3.0,220.0,198015.0
120,288.0,4.0,152.0,2.0,6.0,440.0,244745.0
121,144.0,2.0,76.0,1.0,3.0,220.0,192226.0
122,288.0,4.0,152.0,2.0,6.0,440.0,238313.0
123,144.0,2.0,76.0,1.0,3.0,220.0,191958.0
124,288.0,4.0,152.0,2.0,6.0,440.0,250164.0
125,144.0,2.0,76.0,1.0,3.0,220.0,200738.0
126,288.0,4.0,152.0,2.0,6.0,440.0,229677.0
127,144.0,2.0,76.0,1.0,3.0,220.0,194171.0
128,288.0,4.0,152.0,2.0,6.0,440.0,225374.0
129,144.0,2.0,76.0,1.0,3.0,220.0,196389.0
130,288.0,4.0,152.0,2.0,6.0,440.0,252706.0
131,144.0,2.0,76.0,1.0,3.0,220.0,186723.0
132,288.0,4.0,152.0,2.0,6.0,440.0,225048.0
133,144.0,2.0,76.0,1.0,3.0,220.0,188715.0
134,288.0,4.0,152.0,2.0,6.0,440.0,233447.0
135,144.0,2.0,76.0,1.0,3.0,220.0,186066.0
136,288.0,4.0,152.0,2.0,6.0,440.0,242706.0
137,144.0,2.0,76.0,1.0,3.0,220.0,197452.0
138,288.0,4.0,152.0,2.0,6.0,440.0,242598.0
139,144.0,2.0,76.0,1.0,3.0,220.0,190901.0
140,288.0,4.0,152.0,2.0,6.0,440.0,239199.0
141,144.0,2.0,76.0,1.0,3.0,220.0,192865.0
142,288.0,4.0,152.0,2.0,6.0,440.0,265527.0
143,144.0,2.0,76.0,1.0,3.0,220.0,206204.0
144,288.0,4.0,152.0,2.0,6.0,440.0,229049.0
145,144.0,2.0,76.0,1.0,3.0,220.0,193776.0
146,288.0,4.0,152.0,2.0,6.0,440.0,241593.0
147,144.0,2.0,76.0,1.0,3.0,220.0,195994.0
148,288.0,4.0,152.0,2.0,6.0,440.0,247812.0
149,144.0,2.0,76.0,1.0,3.0,220.0,194577.0
150,288.0,4.0,152.0,2.0,6.0,440.0,247450.0
151,144.0,2.0,76.0,1.0,3.0,220.0,195138.0
152,288.0,4.0,152.0,2.0,6.0,440.0,237703.0
153,144.0,2.0,76.0,1.0,3.0,220.0,189892.0
154,288.0,4.0,152.0,2.0,6.0,440.0,249505.0
155,144.0,2.0,76.0,1.0,3.0,220.0,196943.0
156,288.0,4.0,152.0,2.0,6.0,440.0,234330.0
157,144.0,2.0,76.0,1.0,3.0,220.0,196095.0
158,288.0,4.0,152.0,2.0,6.0,440.0,225684.0
159,144.0,2.0,76.0,1.0,3.0,220.0,190658.0
160,288.0,4.0,152.0,2.0,6.0,440.0,276680.0
161,144.0,2.0,76.0,1.0,3.0,220.0,225234.0
162,288.0,4.0,152.0,2.0,6.0,440.0,242086.0
163,144.0,2.0,76.0,1.0,3.0,220.0,207268.0
164,288.0,4.0,152.0,2.0,6.0,440.0,226943.0
165,144.0,2.0,76.0,1.0,3.0,220.0,206702.0
166,288.0,4.0,152.0,2.0,6.0,440.0,247047.0
167,144.0,2.0,76.0,1.0,3.0,220.0,196222.0
168,112.0,2.0,56.0,1.0,3.0,168.0,365451.0
169,288.0,4.0,152.0,2.0,6.0,440.0,237197.0
170,144.0,2.0,76.0,1.0,3.0,220.0,190851.0
171,288.0,4.0,152.0,2.0,6.0,440.0,239759.0
172,144.0,2.0,76.0,1.0,3.0,220.0,193458.0
173,288.0,4.0,152.0,2.0,6.0,440.0,256503.0
174,144.0,2.0,76.0,1.0,3.0,220.0,201084.0
175,288.0,4.0,152.0,2.0,6.0,440.0,229422.0
176,144.0,2.0,76.0,1.0,3.0,220.0,193946.0
177,288.0,4.0,152.0,2.0,6.0,440.0,240139.0
178,144.0,2.0,76.0,1.0,3.0,220.0,192305.0
179,2576.0,12.0,1324.0,12.0,24.0,3900.0,1336395.0
180,1288.0,6.0,662.0,6.0,12.0,1950.0,1216177.0
181,288.0,4.0,152.0,2.0,6.0,440.0,276425.0
182,144.0,2.0,76.0,1.0,3.0,220.0,197876.0
183,288.0,4.0,152.0,2.0,6.0,440.0,233289.0
184,144.0,2.0,76.0,1.0,3.0,220.0,194728.0
185,288.0,4.0,152.0,2.0,6.0,440.0,238286.0
186,144.0,2.0,76.0,1.0,3.0,220.0,192466.0
187,288.0,4.0,152.0,2.0,6.0,440.0,257188.0
188,144.0,2.0,76.0,1.0,3.0,220.0,194524.0
189,288.0,4.0,152.0,2.0,6.0,440.0,276629.0
190,144.0,2.0,76.0,1.0,3.0,220.0,234907.0
191,288.0,4.0,152.0,2.0,6.0,440.0,250870.0
192,144.0,2.0,76.0,1.0,3.0,220.0,193502.0
193,288.0,4.0,152.0,2.0,6.0,440.0,240727.0
194,144.0,2.0,76.0,1.0,3.0,220.0,206943.0
195,288.0,4.0,152.0,2.0,6.0,440.0,267083.0
196,144.0,2.0,76.0,1.0,3.0,220.0,199229.0
197,288.0,4.0,152.0,2.0,6.0,440.0,245035.0
198,144.0,2.0,76.0,1.0,3.0,220.0,197934.0
199,288.0,4.0,152.0,2.0,6.0,440.0,224464.0
200,144.0,2.0,76.0,1.0,3.0,220.0,183585.0
201,288.0,4.0,152.0,2.0,6.0,440.0,240863.0
202,144.0,2.0,76.0,1.0,3.0,220.0,194149.0
203,288.0,4.0,152.0,2.0,6.0,440.0,253489.0
204,144.0,2.0,76.0,1.0,3.0,220.0,222660.0
205,288.0,4.0,152.0,2.0,6.0,440.0,266247.0
206,144.0,2.0,76.0,1.0,3.0,220.0,193240.0
207,288.0,4.0,152.0,2.0,6.0,440.0,225435.0
208,144.0,2.0,76.0,1.0,3.0,220.0,193753.0
209,288.0,4.0,152.0,2.0,6.0,440.0,398468.0
210,144.0,2.0,76.0,1.0,3.0,220.0,348459.0
211,288.0,4.0,152.0,2.0,6.0,440.0,511488280.0
212,144.0,2.0,76.0,1.0,3.0,220.0,511451108.0
213,288.0,4.0,152.0,2.0,6.0,440.0,223998.0
214,144.0,2.0,76.0,1.0,3.0,220.0,191075.0
215,288.0,4.0,152.0,2.0,6.0,440.0,230115.0
216,144.0,2.0,76.0,1.0,3.0,220.0,196198.0
217,288.0,4.0,152.0,2.0,6.0,440.0,270245.0
218,144.0,2.0,76.0,1.0,3.0,220.0,226344.0
219,288.0,4.0,152.0,2.0,6.0,440.0,241717.0
220,144.0,2.0,76.0,1.0,3.0,220.0,195912.0
221,288.0,4.0,152.0,2.0,6.0,440.0,313814.0
222,144.0,2.0,76.0,1.0,3.0,220.0,269920.0
223,288.0,4.0,152.0,2.0,6.0,440.0,252870.0
224,144.0,2.0,76.0,1.0,3.0,220.0,197072.0
225,288.0,4.0,152.0,2.0,6.0,440.0,253390.0
226,144.0,2.0,76.0,1.0,3.0,220.0,194347.0
227,288.0,4.0,152.0,2.0,6.0,440.0,253096.0
228,144.0,2.0,76.0,1.0,3.0,220.0,205457.0
229,2578.0,12.0,1324.0,12.0,24.0,3902.0,509656547.0
230,1289.0,6.0,662.0,6.0,12.0,1951.0,509537025.0
231,288.0,4.0,152.0,2.0,6.0,440.0,287713.0
232,144.0,2.0,76.0,1.0,3.0,220.0,244880.0
233,288.0,4.0,152.0,2.0,6.0,440.0,253554.0
234,144.0,2.0,76.0,1.0,3.0,220.0,233855.0
235,288.0,4.0,152.0,2.0,6.0,440.0,227500.0
236,144.0,2.0,76.0,1.0,3.0,220.0,191336.0
237,288.0,4.0,152.0,2.0,6.0,440.0,234511.0
238,144.0,2.0,76.0,1.0,3.0,220.0,197740.0
239,288.0,4.0,152.0,2.0,6.0,440.0,239723.0
240,144.0,2.0,76.0,1.0,3.0,220.0,188750.0
241,288.0,4.0,152.0,2.0,6.0,440.0,222941.0
242,144.0,2.0,76.0,1.0,3.0,220.0,204949.0
243,288.0,4.0,152.0,2.0,6.0,440.0,246086.0
244,144.0,2.0,76.0,1.0,3.0,220.0,191857.0
245,288.0,4.0,152.0,2.0,6.0,440.0,229525.0
246,144.0,2.0,76.0,1.0,3.0,220.0,190501.0
247,288.0,4.0,152.0,2.0,6.0,440.0,237676.0
248,144.0,2.0,76.0,1.0,3.0,220.0,190471.0
249,288.0,4.0,152.0,2.0,6.0,440.0,247300.0
250,144.0,2.0,76.0,1.0,3.0,220.0,197154.0
251,288.0,4.0,152.0,2.0,6.0,440.0,235636.0
252,144.0,2.0,76.0,1.0,3.0,220.0,199553.0
253,288.0,4.0,152.0,2.0,6.0,440.0,225578.0
254,144.0,2.0,76.0,1.0,3.0,220.0,191970.0
255,4284680.0,42964.0,8329308.0,41740.0,84704.0,12613988.0,3126752932792.0
256,2142340.0,21482.0,4164654.0,20870.0,42352.0,6306994.0,3126752794357.0
257,92.0,1.0,92.0,1.0,2.0,184.0,44301.0
258,92.0,1.0,92.0,1.0,2.0,184.0,1386185.0
259,92.0,1.0,92.0,1.0,2.0,184.0,372042.0
260,92.0,1.0,92.0,1.0,2.0,184.0,47758.0
261,92.0,1.0,92.0,1.0,2.0,184.0,36417.0
262,92.0,1.0,92.0,1.0,2.0,184.0,647757.0
263,92.0,1.0,92.0,1.0,2.0,184.0,28463.0
264,92.0,1.0,92.0,1.0,2.0,184.0,28100.0
265,1360.0,10.0,2143.0,7.0,17.0,3503.0,3158866.0
266,2720.0,20.0,4286.0,14.0,34.0,7006.0,3158888.0
267,1232.0,9.0,2652.0,7.0,16.0,3884.0,511160976.0
268,2464.0,18.0,5304.0,14.0,32.0,7768.0,511177498.0
269,1284.0,9.0,2058.0,6.0,15.0,3342.0,3046065.0
270,2568.0,18.0,4116.0,12.0,30.0,6684.0,3079408.0
271,1875.0,9.0,2135.0,6.0,15.0,4010.0,2815725.0
272,3750.0,18.0,4270.0,12.0,30.0,8020.0,2836139.0
273,1873.0,9.0,2135.0,6.0,15.0,4008.0,2919485.0
274,3746.0,18.0,4270.0,12.0,30.0,8016.0,2939836.0
275,1874.0,9.0,2135.0,6.0,15.0,4009.0,3061814.0
276,3748.0,18.0,4270.0,12.0,30.0,8018.0,3090922.0
277,5590462.0,3855.0,1194492.0,2148.0,6003.0,6784954.0,2938335166642.0
278,125943442.0,14573.0,20331107.0,10286.0,24859.0,146274549.0,2924512041201.0
279,288.0,4.0,152.0,2.0,6.0,440.0,229797.0
280,144.0,2.0,76.0,1.0,3.0,220.0,181902.0
281,288.0,4.0,152.0,2.0,6.0,440.0,267602.0
282,144.0,2.0,76.0,1.0,3.0,220.0,225477.0
283,288.0,4.0,152.0,2.0,6.0,440.0,228039.0
284,144.0,2.0,76.0,1.0,3.0,220.0,208488.0
285,288.0,4.0,152.0,2.0,6.0,440.0,229155.0
286,144.0,2.0,76.0,1.0,3.0,220.0,194730.0
287,288.0,4.0,152.0,2.0,6.0,440.0,853926.0
288,144.0,2.0,76.0,1.0,3.0,220.0,817571.0
289,288.0,4.0,152.0,2.0,6.0,440.0,604656.0
290,144.0,2.0,76.0,1.0,3.0,220.0,360297.0
291,288.0,4.0,152.0,2.0,6.0,440.0,229688.0
292,144.0,2.0,76.0,1.0,3.0,220.0,187081.0
293,288.0,4.0,152.0,2.0,6.0,440.0,214259.0
294,144.0,2.0,76.0,1.0,3.0,220.0,180738.0
295,288.0,4.0,152.0,2.0,6.0,440.0,217071.0
296,144.0,2.0,76.0,1.0,3.0,220.0,183664.0
297,288.0,4.0,152.0,2.0,6.0,440.0,246941.0
298,144.0,2.0,76.0,1.0,3.0,220.0,198096.0
299,288.0,4.0,152.0,2.0,6.0,440.0,247235.0
300,144.0,2.0,76.0,1.0,3.0,220.0,194616.0
301,288.0,4.0,152.0,2.0,6.0,440.0,240749.0
302,144.0,2.0,76.0,1.0,3.0,220.0,192833.0
303,288.0,4.0,152.0,2.0,6.0,440.0,263358.0
304,144.0,2.0,76.0,1.0,3.0,220.0,196491.0
305,288.0,4.0,152.0,2.0,6.0,440.0,226377.0
306,144.0,2.0,76.0,1.0,3.0,220.0,207595.0
