,@timestamp,source.ip,source.port,source.packets,source.bytes,destination.ip,destination.port,destination.packets,destination.bytes,network.bytes,network.transport,event.duration,network.packets
28,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,154",9,"1,874",10.0.12.101,"8,443",7,"2,204","4,078",tcp,"3,106,327",16.0
29,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,154",18,"3,748",192.168.4.10,"8,443",14,"4,408","8,156",tcp,"3,131,432",32.0
30,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,156",9,"1,872",10.0.12.101,"8,443",6,"2,136","4,008",tcp,"3,398,961",15.0
31,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,156",18,"3,744",192.168.4.10,"8,443",12,"4,272","8,016",tcp,"3,421,625",30.0
32,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,158",9,"1,291",10.0.12.101,"8,443",6,"2,046","3,337",tcp,"4,079,986",15.0
33,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,158",18,"2,582",192.168.4.10,"8,443",12,"4,092","6,674",tcp,"4,095,779",30.0
34,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,160",9,"1,231",10.0.12.101,"8,443",7,"2,652","3,883",tcp,"3,952,543",16.0
35,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,160",18,"2,462",192.168.4.10,"8,443",14,"5,304","7,766",tcp,"3,965,535",32.0
36,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,162",9,"1,283",10.0.12.101,"8,443",6,"2,058","3,341",tcp,"3,371,588",15.0
37,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,162",18,"2,566",192.168.4.10,"8,443",12,"4,116","6,682",tcp,"3,379,603",30.0
38,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,164",9,"1,875",10.0.12.101,"8,443",6,"2,136","4,011",tcp,"501,278,087",15.0
39,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,164",18,"3,750",192.168.4.10,"8,443",12,"4,272","8,022",tcp,"501,294,617",30.0
40,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,166",9,"1,871",10.0.12.101,"8,443",7,"2,204","4,075",tcp,"3,125,403",16.0
41,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,166",18,"3,742",192.168.4.10,"8,443",14,"4,408","8,150",tcp,"3,142,305",32.0
42,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,168",9,"1,871",10.0.12.101,"8,443",7,"2,204","4,075",tcp,"3,142,578",16.0
43,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,168",18,"3,742",192.168.4.10,"8,443",14,"4,408","8,150",tcp,"3,167,288",32.0
44,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,170",9,"1,291",10.0.12.101,"8,443",6,"2,046","3,337",tcp,"3,275,012",15.0
45,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,170",18,"2,582",192.168.4.10,"8,443",12,"4,092","6,674",tcp,"3,297,879",30.0
46,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,172",9,"1,231",10.0.12.101,"8,443",7,"2,652","3,883",tcp,"510,515,410",16.0
47,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,172",18,"2,462",192.168.4.10,"8,443",14,"5,304","7,766",tcp,"510,545,304",32.0
48,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,174",9,"1,283",10.0.12.101,"8,443",6,"2,058","3,341",tcp,"3,212,611",15.0
49,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,174",18,"2,566",192.168.4.10,"8,443",12,"4,116","6,682",tcp,"3,229,897",30.0
50,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,176",9,"1,875",10.0.12.101,"8,443",7,"2,204","4,079",tcp,"3,322,398",16.0
51,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,176",18,"3,750",192.168.4.10,"8,443",14,"4,408","8,158",tcp,"3,341,817",32.0
52,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,178",9,"1,874",10.0.12.101,"8,443",6,"2,136","4,010",tcp,"3,202,792",15.0
53,"Jan 23, 2020 @ 14:28:40.002",52.205.255.12,"50,178",18,"3,748",192.168.4.10,"8,443",12,"4,272","8,020",tcp,"3,242,494",30.0
56,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,694",4,288,10.0.22.101,"13,003",2,152,440,tcp,"261,168",6.0
57,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,694",2,144,10.0.22.101,"13,003",1,76,220,tcp,"200,460",3.0
58,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,296",4,288,10.0.22.101,"13,004",2,152,440,tcp,"206,870",6.0
59,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,296",2,144,10.0.22.101,"13,004",1,76,220,tcp,"174,620",3.0
60,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,480",4,288,10.0.22.101,"13,005",2,152,440,tcp,"240,120",6.0
61,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,480",2,144,10.0.22.101,"13,005",1,76,220,tcp,"192,504",3.0
62,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,468",4,288,10.0.22.101,"13,006",2,152,440,tcp,"231,876",6.0
63,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,468",2,144,10.0.22.101,"13,006",1,76,220,tcp,"183,402",3.0
64,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,832",4,288,10.0.22.101,"13,001",2,152,440,tcp,"216,234",6.0
65,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,832",2,144,10.0.22.101,"13,001",1,76,220,tcp,"181,561",3.0
66,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,540",4,288,10.0.22.101,"13,002",2,152,440,tcp,"233,430",6.0
67,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,540",2,144,10.0.22.101,"13,002",1,76,220,tcp,"209,090",3.0
68,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,706",4,288,10.0.22.101,"13,003",2,152,440,tcp,"256,681",6.0
69,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,706",2,144,10.0.22.101,"13,003",1,76,220,tcp,"216,950",3.0
70,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,308",4,288,10.0.22.101,"13,004",2,152,440,tcp,"227,767",6.0
71,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,308",2,144,10.0.22.101,"13,004",1,76,220,tcp,"196,579",3.0
72,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,492",4,288,10.0.22.101,"13,005",2,152,440,tcp,"252,014",6.0
73,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,492",2,144,10.0.22.101,"13,005",1,76,220,tcp,"200,030",3.0
74,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,480",4,288,10.0.22.101,"13,006",2,152,440,tcp,"268,909",6.0
75,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,480",2,144,10.0.22.101,"13,006",1,76,220,tcp,"224,655",3.0
76,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,550",12,"2,576",10.0.22.101,"13,002",12,"1,326","3,902",tcp,"1,254,961",24.0
77,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,550",6,"1,288",10.0.22.101,"13,002",6,663,"1,951",tcp,"1,117,301",12.0
78,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,552",12,"2,574",10.0.22.101,"13,002",12,"1,326","3,900",tcp,"1,359,859",24.0
79,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,552",6,"1,287",10.0.22.101,"13,002",6,663,"1,950",tcp,"1,240,180",12.0
80,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,848",4,288,10.0.22.101,"13,001",2,152,440,tcp,"228,392",6.0
81,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,848",2,144,10.0.22.101,"13,001",1,76,220,tcp,"191,072",3.0
82,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,556",4,288,10.0.22.101,"13,002",2,152,440,tcp,"293,568",6.0
83,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,556",2,144,10.0.22.101,"13,002",1,76,220,tcp,"225,688",3.0
84,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,722",4,288,10.0.22.101,"13,003",2,152,440,tcp,"251,316",6.0
85,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,722",2,144,10.0.22.101,"13,003",1,76,220,tcp,"197,620",3.0
86,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,324",4,288,10.0.22.101,"13,004",2,152,440,tcp,"235,758",6.0
87,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,324",2,144,10.0.22.101,"13,004",1,76,220,tcp,"187,864",3.0
88,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,508",4,288,10.0.22.101,"13,005",2,152,440,tcp,"250,118",6.0
89,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,508",2,144,10.0.22.101,"13,005",1,76,220,tcp,"202,265",3.0
90,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,496",4,288,10.0.22.101,"13,006",2,152,440,tcp,"268,141",6.0
91,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,496",2,144,10.0.22.101,"13,006",1,76,220,tcp,"192,130",3.0
92,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,860",4,288,10.0.22.101,"13,001",2,152,440,tcp,"249,354",6.0
93,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,860",2,144,10.0.22.101,"13,001",1,76,220,tcp,"190,842",3.0
94,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,568",4,288,10.0.22.101,"13,002",2,152,440,tcp,"275,037",6.0
95,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,568",2,144,10.0.22.101,"13,002",1,76,220,tcp,"198,412",3.0
96,"Jan 23, 2020 @ 14:28:40.002",185.176.27.30,"44,026",2,112,10.0.12.101,"21,222",1,56,168,tcp,"85,098",3.0
97,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,734",4,288,10.0.22.101,"13,003",2,152,440,tcp,"241,155",6.0
98,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,734",2,144,10.0.22.101,"13,003",1,76,220,tcp,"197,138",3.0
99,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,336",4,288,10.0.22.101,"13,004",2,152,440,tcp,"273,333",6.0
100,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,336",2,144,10.0.22.101,"13,004",1,76,220,tcp,"230,643",3.0
101,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,520",4,288,10.0.22.101,"13,005",2,152,440,tcp,"246,976",6.0
102,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,520",2,144,10.0.22.101,"13,005",1,76,220,tcp,"198,018",3.0
103,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,508",4,288,10.0.22.101,"13,006",2,152,440,tcp,"242,726",6.0
104,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,508",2,144,10.0.22.101,"13,006",1,76,220,tcp,"195,173",3.0
105,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,872",4,288,10.0.22.101,"13,001",2,152,440,tcp,"250,798",6.0
106,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,872",2,144,10.0.22.101,"13,001",1,76,220,tcp,"194,242",3.0
107,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,580",4,288,10.0.22.101,"13,002",2,152,440,tcp,"286,796",6.0
108,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,580",2,144,10.0.22.101,"13,002",1,76,220,tcp,"211,392",3.0
109,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,746",4,288,10.0.22.101,"13,003",2,152,440,tcp,"239,538",6.0
110,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,746",2,144,10.0.22.101,"13,003",1,76,220,tcp,"191,770",3.0
111,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,584",12,"2,572",10.0.22.101,"13,002",12,"1,326","3,898",tcp,"1,259,040",24.0
112,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,584",6,"1,286",10.0.22.101,"13,002",6,663,"1,949",tcp,"1,106,748",12.0
113,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,350",4,288,10.0.22.101,"13,004",2,152,440,tcp,"225,101",6.0
114,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,350",2,144,10.0.22.101,"13,004",1,76,220,tcp,"192,554",3.0
115,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,534",4,288,10.0.22.101,"13,005",2,152,440,tcp,"255,301",6.0
116,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,534",2,144,10.0.22.101,"13,005",1,76,220,tcp,"193,507",3.0
117,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,522",4,288,10.0.22.101,"13,006",2,152,440,tcp,"235,942",6.0
118,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,522",2,144,10.0.22.101,"13,006",1,76,220,tcp,"192,216",3.0
119,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,886",4,288,10.0.22.101,"13,001",2,152,440,tcp,"270,798",6.0
120,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,886",2,144,10.0.22.101,"13,001",1,76,220,tcp,"224,689",3.0
121,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,594",4,288,10.0.22.101,"13,002",2,152,440,tcp,"297,035",6.0
122,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,594",2,144,10.0.22.101,"13,002",1,76,220,tcp,"255,958",3.0
123,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,760",4,288,10.0.22.101,"13,003",2,152,440,tcp,"735,047",6.0
124,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,760",2,144,10.0.22.101,"13,003",1,76,220,tcp,"689,586",3.0
125,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,362",4,288,10.0.22.101,"13,004",2,152,440,tcp,"233,002",6.0
126,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,362",2,144,10.0.22.101,"13,004",1,76,220,tcp,"179,091",3.0
127,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,546",4,288,10.0.22.101,"13,005",2,152,440,tcp,"263,041",6.0
128,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,546",2,144,10.0.22.101,"13,005",1,76,220,tcp,"187,994",3.0
129,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,534",4,288,10.0.22.101,"13,006",2,152,440,tcp,"210,229",6.0
130,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,534",2,144,10.0.22.101,"13,006",1,76,220,tcp,"181,639",3.0
131,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,604",12,"2,574",10.0.22.101,"13,002",12,"1,326","3,900",tcp,"1,768,049",24.0
132,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,604",6,"1,287",10.0.22.101,"13,002",6,663,"1,950",tcp,"1,632,939",12.0
133,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,900",4,288,10.0.22.101,"13,001",2,152,440,tcp,"217,404",6.0
134,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,900",2,144,10.0.22.101,"13,001",1,76,220,tcp,"180,301",3.0
135,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,608",4,288,10.0.22.101,"13,002",2,152,440,tcp,"215,879",6.0
136,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,608",2,144,10.0.22.101,"13,002",1,76,220,tcp,"179,571",3.0
137,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,774",4,288,10.0.22.101,"13,003",2,152,440,tcp,"264,032",6.0
138,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,774",2,144,10.0.22.101,"13,003",1,76,220,tcp,"204,664",3.0
139,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,376",4,288,10.0.22.101,"13,004",2,152,440,tcp,"239,888",6.0
140,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,376",2,144,10.0.22.101,"13,004",1,76,220,tcp,"192,771",3.0
141,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,560",4,288,10.0.22.101,"13,005",2,152,440,tcp,"254,433",6.0
142,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,560",2,144,10.0.22.101,"13,005",1,76,220,tcp,"198,732",3.0
143,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,548",4,288,10.0.22.101,"13,006",2,152,440,tcp,"277,581",6.0
144,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,548",2,144,10.0.22.101,"13,006",1,76,220,tcp,"207,974",3.0
145,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,912",4,288,10.0.22.101,"13,001",2,152,440,tcp,"228,976",6.0
146,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,912",2,144,10.0.22.101,"13,001",1,76,220,tcp,"207,880",3.0
147,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,620",4,288,10.0.22.101,"13,002",2,152,440,tcp,"272,411",6.0
148,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,620",2,144,10.0.22.101,"13,002",1,76,220,tcp,"229,467",3.0
149,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,786",4,288,10.0.22.101,"13,003",2,152,440,tcp,"261,958",6.0
150,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,786",2,144,10.0.22.101,"13,003",1,76,220,tcp,"225,778",3.0
151,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,388",4,288,10.0.22.101,"13,004",2,152,440,tcp,"222,545",6.0
152,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,388",2,144,10.0.22.101,"13,004",1,76,220,tcp,"203,378",3.0
153,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,572",4,288,10.0.22.101,"13,005",2,152,440,tcp,"293,946",6.0
154,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,572",2,144,10.0.22.101,"13,005",1,76,220,tcp,"253,633",3.0
155,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,560",4,288,10.0.22.101,"13,006",2,152,440,tcp,"316,506",6.0
156,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,560",2,144,10.0.22.101,"13,006",1,76,220,tcp,"222,388",3.0
157,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,630",12,"2,576",10.0.22.101,"13,002",12,"1,326","3,902",tcp,"1,376,614",24.0
158,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,630",6,"1,288",10.0.22.101,"13,002",6,663,"1,951",tcp,"1,219,689",12.0
159,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,926",4,288,10.0.22.101,"13,001",2,152,440,tcp,"330,427",6.0
160,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,926",2,144,10.0.22.101,"13,001",1,76,220,tcp,"292,300",3.0
161,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,634",4,288,10.0.22.101,"13,002",2,152,440,tcp,"265,419",6.0
162,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,634",2,144,10.0.22.101,"13,002",1,76,220,tcp,"224,680",3.0
163,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,800",4,288,10.0.22.101,"13,003",2,152,440,tcp,"283,727",6.0
164,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,800",2,144,10.0.22.101,"13,003",1,76,220,tcp,"245,168",3.0
165,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,402",4,288,10.0.22.101,"13,004",2,152,440,tcp,"241,755",6.0
166,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,402",2,144,10.0.22.101,"13,004",1,76,220,tcp,"196,433",3.0
167,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,586",4,288,10.0.22.101,"13,005",2,152,440,tcp,"289,214",6.0
168,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,586",2,144,10.0.22.101,"13,005",1,76,220,tcp,"206,776",3.0
169,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,574",4,288,10.0.22.101,"13,006",2,152,440,tcp,"250,944",6.0
170,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,574",2,144,10.0.22.101,"13,006",1,76,220,tcp,"200,659",3.0
171,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,938",4,288,10.0.22.101,"13,001",2,152,440,tcp,"243,717",6.0
172,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,938",2,144,10.0.22.101,"13,001",1,76,220,tcp,"194,949",3.0
173,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"54,646",4,288,10.0.22.101,"13,002",2,152,440,tcp,"393,877",6.0
174,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"54,646",2,144,10.0.22.101,"13,002",1,76,220,tcp,"197,458",3.0
175,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,812",4,288,10.0.22.101,"13,003",2,152,440,tcp,"511,510,278",6.0
176,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,812",2,144,10.0.22.101,"13,003",1,76,220,tcp,"511,477,622",3.0
177,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"37,414",4,288,10.0.22.101,"13,004",2,152,440,tcp,"226,276",6.0
178,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"37,414",2,144,10.0.22.101,"13,004",1,76,220,tcp,"203,141",3.0
179,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"47,598",4,288,10.0.22.101,"13,005",2,152,440,tcp,"270,429",6.0
180,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"47,598",2,144,10.0.22.101,"13,005",1,76,220,tcp,"200,265",3.0
181,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"40,586",4,288,10.0.22.101,"13,006",2,152,440,tcp,"244,110",6.0
182,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"40,586",2,144,10.0.22.101,"13,006",1,76,220,tcp,"195,438",3.0
183,"Jan 23, 2020 @ 14:28:40.002",192.168.4.10,"44,950",4,288,10.0.22.101,"13,001",2,152,440,tcp,"252,614",6.0
184,"Jan 23, 2020 @ 14:28:40.002",10.0.12.101,"44,950",2,144,10.0.22.101,"13,001",1,76,220,tcp,"209,412",3.0
